DN20020 ,Modina Gen.Store 
DSWB-0007 ,Jahan Departmental Store 
23.70192833, 90.42374167
DN20021 ,BKTTC Store 
23.78046, 90.35177
DN20021 ,Mahbub Store 
23.75343333, 90.34296667
DSWB-0014 ,Dulal Store 
23.70408833, 90.372145
DN20010 ,Mahin Store 
23.82075667, 90.25297833
DN30009 ,Shimla enterprise 
23.94646167, 90.37458667
DN20021 ,Tamim Gen.Store 
23.75292833, 90.35824667
DN10005 ,Sumaya Store 
23.83756833, 90.38726667
DSEA0014 ,Latif Store 
23.592555, 90.44004667
DN30005 ,M/s.Al-Wasel International 
23.910845, 90.39798167
DSWB-0007 ,Bhyan Store 
23.69555333, 90.42634167
DN10011 ,Bismilla General store 
23.942585, 90.27737
DN30018 ,Nur General Store 
23.78323833, 90.34724167
DN20022 ,M/S Hoque ent. 
23.83590833, 90.258975
DSEA-0014 ,Rahat Store 
23.541365, 90.45950833
DN30019 ,Anando D/Store 
23.7348873, 90.3960891
DN10026 ,Bhuyan General Store 
23.79119333, 90.37482167
DN30018 ,Pinki General Store 
23.790665, 90.34769667
DN10026 ,Rafi Telecom 
23.79551167, 90.372445
DN10005 ,Sohel Genersl Store 
23.83652833, 90.38440667
DN20019 ,Ferdous Store 
23.75543167, 90.39164333
DN30006 ,Mainuddin Genarel Store 
23.8780076, 90.3910562
DN30018 ,Good Sweets & Bakery 
23.78324833, 90.34736
DN30009 ,Jannati Store 
23.95398, 90.37247667
DSWB-0007 ,Dia Bikrompur Sweets 
23.69920333, 90.42182333
DN20022 ,M/S Hoque ent. 
23.83603, 90.25922
ddDSWB-0014 ,Mardia V/Store 
23.7051, 90.38893
DN20019 ,Reaz Store 
23.761515, 90.40738167
DN30006 ,Laboni General Store 
23.874879, 90.4012175
DN30005 ,Israt Store 
23.9105669, 90.3988245
DN20020 ,QPS Pharmacy 
23.81613833, 90.36526333
DSEB-0019 ,Mehedi & Modina Store 
23.602675, 90.53141
DN30018 ,Riyad Traders 
23.78952833, 90.347235
DN10026 ,Nannu General Store 
23.79556, 90.370135
DN30006 ,Saiful General Store 
23.874879, 90.4012175
DSWB-0015 ,Priyo Confectionery 
23.72064, 90.37204
DN20015 ,Zahid Store 
23.82410833, 90.37664333
DN30009 ,Ani genaral store 
23.95397333, 90.37354
DN30005 ,Noakhali Store 
23.9109394, 90.39853
DN10011 ,Barisal Store 
23.94227667, 90.27855
DN20021 ,Ma Jononi Store 
23.74558167, 90.34703833
DN20020 ,Family Mart 
23.80839667, 90.36519833
DN20022 ,Tinbonek bhai 
23.832795, 90.26088667
DN10005 ,Maria General Store 
23.83069667, 90.39015333
DSEA-0021 ,Asrafi G Store 
23.74385667, 90.42225833
DN10005 ,Chanpur General Store 
23.83370333, 90.38565167
DN10005 ,Tasib General Store 
23.83788833, 90.38716667
DN30006 ,Sajia Genarel Store 
23.874879, 90.4012175
DN10004 ,S.K. Enterprise 
23.804575, 90.37458
DN10011 ,Sabbir Store 
23.937795, 90.27369167
DSWB-0015 ,Shamim Store 
23.71992, 90.37429167
DN20010 ,Bul Bul Store 
23.83394333, 90.25746
DN20016 ,Bhai Bhai General Store 
23.7732439, 90.4273537
DN10011 ,Al Imran Confectionery 
23.93612167, 90.273695
DSWB-0014 ,Tuhin Confectionery 
23.70031, 90.39566
DN10004 ,Barisal General Store 
23.79652167, 90.38463667
DN10015 ,JB cosmaties 
24.0386, 90.25471
DN20022 ,Sowpner thikanastore. 
23.83299167, 90.26112833
DN20022 ,Mahabub Store 
23.84693833, 90.25818333
DN20028 ,Bismillah Departmental Store 
23.81502333, 90.37129
DN20022 ,Sohag Store 
23.85058167, 90.26170167
DN20016 ,Rajvogue Sweets & Bakery 
23.7747645, 90.4262864
DN20016 ,Mayer Doa Store 
23.77648, 90.4249633
DSEA-0021 ,Mayer Doa Gen Store 
23.74690167, 90.41964167
DSWB-0007 ,Amma Gan General store 
23.70002, 90.42646667
DN30018 ,New Babul Store 
23.78348333, 90.34736333
DSWB-0014 ,Abdur Rahim Store 
23.69992667, 90.39558167
DN30005 ,Jahid Store 
23.90206333, 90.365175
DN20022 ,Esha Store 
23.84842, 90.27511667
DN30018 ,Shsikat Telecom 
23.79323333, 90.35413833
DSWB-0014 ,Super Kusum Bakari 
